roiidx,SHORTNAME,hemi,NETWORK
1,7Networks_LH_Vis_1,L,VI
2,7Networks_LH_Vis_2,L,VI
3,7Networks_LH_Vis_3,L,VI
4,7Networks_LH_Vis_4,L,VI
5,7Networks_LH_Vis_5,L,VI
6,7Networks_LH_Vis_6,L,VI
7,7Networks_LH_Vis_7,L,VI
8,7Networks_LH_Vis_8,L,VI
9,7Networks_LH_Vis_9,L,VI
10,7Networks_LH_SomMot_1,L,SM
11,7Networks_LH_SomMot_2,L,SM
12,7Networks_LH_SomMot_3,L,SM
13,7Networks_LH_SomMot_4,L,SM
14,7Networks_LH_SomMot_5,L,SM
15,7Networks_LH_SomMot_6,L,SM
16,7Networks_LH_DorsAttn_Post_1,L,DA
17,7Networks_LH_DorsAttn_Post_2,L,DA
18,7Networks_LH_DorsAttn_Post_3,L,DA
19,7Networks_LH_DorsAttn_Post_4,L,DA
20,7Networks_LH_DorsAttn_Post_5,L,DA
21,7Networks_LH_DorsAttn_Post_6,L,DA
22,7Networks_LH_DorsAttn_PrCv_1,L,DA
23,7Networks_LH_DorsAttn_FEF_1,L,DA
24,7Networks_LH_SalVentAttn_ParOper_1,L,VA
25,7Networks_LH_SalVentAttn_FrOperIns_1,L,VA
26,7Networks_LH_SalVentAttn_FrOperIns_2,L,VA
27,7Networks_LH_SalVentAttn_PFCl_1,L,VA
28,7Networks_LH_SalVentAttn_Med_1,L,VA
29,7Networks_LH_SalVentAttn_Med_2,L,VA
30,7Networks_LH_SalVentAttn_Med_3,L,VA
31,7Networks_LH_Limbic_OFC_1,L,LI
32,7Networks_LH_Limbic_TempPole_1,L,LI
33,7Networks_LH_Limbic_TempPole_2,L,LI
34,7Networks_LH_Cont_Par_1,L,FP
35,7Networks_LH_Cont_PFCl_1,L,FP
36,7Networks_LH_Cont_pCun_1,L,FP
37,7Networks_LH_Cont_Cing_1,L,FP
38,7Networks_LH_Default_Temp_1,L,DM
39,7Networks_LH_Default_Temp_2,L,DM
40,7Networks_LH_Default_Par_1,L,DM
41,7Networks_LH_Default_Par_2,L,DM
42,7Networks_LH_Default_PFC_1,L,DM
43,7Networks_LH_Default_PFC_2,L,DM
44,7Networks_LH_Default_PFC_3,L,DM
45,7Networks_LH_Default_PFC_4,L,DM
46,7Networks_LH_Default_PFC_5,L,DM
47,7Networks_LH_Default_PFC_6,L,DM
48,7Networks_LH_Default_PFC_7,L,DM
49,7Networks_LH_Default_pCunPCC_1,L,DM
50,7Networks_LH_Default_pCunPCC_2,L,DM
51,7Networks_RH_Vis_1,R,VI
52,7Networks_RH_Vis_2,R,VI
53,7Networks_RH_Vis_3,R,VI
54,7Networks_RH_Vis_4,R,VI
55,7Networks_RH_Vis_5,R,VI
56,7Networks_RH_Vis_6,R,VI
57,7Networks_RH_Vis_7,R,VI
58,7Networks_RH_Vis_8,R,VI
59,7Networks_RH_SomMot_1,R,SM
60,7Networks_RH_SomMot_2,R,SM
61,7Networks_RH_SomMot_3,R,SM
62,7Networks_RH_SomMot_4,R,SM
63,7Networks_RH_SomMot_5,R,SM
64,7Networks_RH_SomMot_6,R,SM
65,7Networks_RH_SomMot_7,R,SM
66,7Networks_RH_SomMot_8,R,SM
67,7Networks_RH_DorsAttn_Post_1,R,DA
68,7Networks_RH_DorsAttn_Post_2,R,DA
69,7Networks_RH_DorsAttn_Post_3,R,DA
70,7Networks_RH_DorsAttn_Post_4,R,DA
71,7Networks_RH_DorsAttn_Post_5,R,DA
72,7Networks_RH_DorsAttn_PrCv_1,R,DA
73,7Networks_RH_DorsAttn_FEF_1,R,DA
74,7Networks_RH_SalVentAttn_TempOccPar_1,R,VA
75,7Networks_RH_SalVentAttn_TempOccPar_2,R,VA
76,7Networks_RH_SalVentAttn_FrOperIns_1,R,VA
77,7Networks_RH_SalVentAttn_Med_1,R,VA
78,7Networks_RH_SalVentAttn_Med_2,R,VA
79,7Networks_RH_Limbic_OFC_1,R,LI
80,7Networks_RH_Limbic_TempPole_1,R,LI
81,7Networks_RH_Cont_Par_1,R,FP
82,7Networks_RH_Cont_Par_2,R,FP
83,7Networks_RH_Cont_PFCl_1,R,FP
84,7Networks_RH_Cont_PFCl_2,R,FP
85,7Networks_RH_Cont_PFCl_3,R,FP
86,7Networks_RH_Cont_PFCl_4,R,FP
87,7Networks_RH_Cont_Cing_1,R,FP
88,7Networks_RH_Cont_PFCmp_1,R,FP
89,7Networks_RH_Cont_pCun_1,R,FP
90,7Networks_RH_Default_Par_1,R,DM
91,7Networks_RH_Default_Temp_1,R,DM
92,7Networks_RH_Default_Temp_2,R,DM
93,7Networks_RH_Default_Temp_3,R,DM
94,7Networks_RH_Default_PFCv_1,R,DM
95,7Networks_RH_Default_PFCv_2,R,DM
96,7Networks_RH_Default_PFCdPFCm_1,R,DM
97,7Networks_RH_Default_PFCdPFCm_2,R,DM
98,7Networks_RH_Default_PFCdPFCm_3,R,DM
99,7Networks_RH_Default_pCunPCC_1,R,DM
100,7Networks_RH_Default_pCunPCC_2,R,DM
